T=10,T=16,T=22,mean
4.07,10.21,17.12,8.93
3.20,1.89,15.42,4.54
2.94,6.09,11.00,5.81
3.78,7.23,12.30,6.95
2.35,5.90,9.20,5.03
2.03,0.11,39.51,2.04
2.29,1.92,9.26,3.44
2.18,0.34,10.78,2
1.72,6.76,8.28,4.58
3.56,0.14,13.28,1.89
2.83,3.67,12.75,5.1
10.41,21.26,47.24,21.87
4.29,13.38,13.62,9.21
5.64,6.28,12.45,7.61
2.67,5.63,18.82,6.57
2.29,20.28,7.60,7.07
3.47,9.30,16.01,8.02
2.16,5.67,7.96,4.6
22.78,32.27,53.5,34.01
13.52,15.95,43.91,21.15
11.18,18.52,27.94,17.95
6.40,8.89,25.93,11.38
5.15,19.47,42.09,16.16
2.30,12.86,17.39,8.01
2.61,2.43,4.36,3.02
3.68,4.52,8.28,5.17
2.22,6.12,26.29,7.1
11.88,24.59,16.18,16.78
5.97,21.10,73.39,20.98
4.44,18.30,37.43,14.49
3.92,2.02,12.69,4.65
2.55,3.32,6.87,3.88
5.35,16.74,29.06,13.75
2.17,7.45,8.55,5.17
