T=10,T=16,T=22
0.3,0.36,0.34
0.18,0.26,0.38
0.26,0.24,0.32
0.16,0.3,0.24
0.2,0.24,0.4
0.14,0.32,0.48
0.2,0.26,0.36
0.06,0.18,0.66
0.33,0.6,0.84
0.35,0.6,0.93
0.32,0.68,1.56
0.36,1.28,4.62
1.2,0.99,1.77
1.39,3.7,6.46
0.44,1.9,4.68
1.08,3.31,6
1.64,3.06,6.17
0.36,1.1,1.6
3.3,5.85,8.67
3.4,6.5,8.33
2.28,5.7,8.41
3.04,7.4,10.57
1.4,1.53,3.7
0.49,1.26,0.94
0.95,1.25,2.9
0.4,1.52,3.32
0.39,1.24,2.84
3.7,7.4,8.27
3.7,7.4,8.23
0.81,3.21,7.26
1.88,3.32,7.4
1.06,1.64,4.6
1.92,3.37,5.67
0.74,1,1.04
